T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
24,Angola,2015,Major trading partner 1 (% of imports),China,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2022,Major trading partner 1 (% of imports),China,,16.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2010,Major trading partner 2 (% of exports),India,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2015,Major trading partner 2 (% of exports),India,,7.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2022,Major trading partner 2 (% of exports),India,,10.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2010,Major trading partner 2 (% of imports),Portugal,,14.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2015,Major trading partner 2 (% of imports),Portugal,,12.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2022,Major trading partner 2 (% of imports),Portugal,,10.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2010,Major trading partner 3 (% of exports),France,,4.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2015,Major trading partner 3 (% of exports),France,,4.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2022,Major trading partner 3 (% of exports),France,,7.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2010,Major trading partner 3 (% of imports),Republic of Korea,,1.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2015,Major trading partner 3 (% of imports),Republic of Korea,,3.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
24,Angola,2022,Major trading partner 3 (% of imports),Republic of Korea,,9.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2015,Major trading partner 1 (% of exports),Chile,,0.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2022,Major trading partner 1 (% of exports),Chile,,61.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2010,Major trading partner 1 (% of imports),Chile,,0.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2015,Major trading partner 1 (% of imports),Chile,,0.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2022,Major trading partner 1 (% of imports),Chile,,44.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2010,Major trading partner 2 (% of exports),United States,,22.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2015,Major trading partner 2 (% of exports),United States,,45.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2022,Major trading partner 2 (% of exports),United States,,18.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2010,Major trading partner 2 (% of imports),United States,,55.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2015,Major trading partner 2 (% of imports),United States,,60.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2022,Major trading partner 2 (% of imports),United States,,29.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2022,Major trading partner 3 (% of exports),Hungary,,5.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
660,Anguilla,2022,Major trading partner 3 (% of imports),Botswana,,16.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2022,Major trading partner 1 (% of exports),Suriname,,25.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2010,Major trading partner 1 (% of imports),United States,,34.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2015,Major trading partner 1 (% of imports),United States,,55.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2022,Major trading partner 1 (% of imports),United States,,60.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2022,Major trading partner 2 (% of exports),Poland,,18.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2010,Major trading partner 2 (% of imports),China,,8.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2015,Major trading partner 2 (% of imports),China,,5.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2022,Major trading partner 2 (% of imports),China,,6.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2010,Major trading partner 3 (% of exports),Germany,,0.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2015,Major trading partner 3 (% of exports),Germany,,0.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2022,Major trading partner 3 (% of exports),Germany,,12.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2010,Major trading partner 3 (% of imports),Singapore,,24.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2015,Major trading partner 3 (% of imports),Singapore,,0.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
28,Antigua and Barbuda,2022,Major trading partner 3 (% of imports),Singapore,,5.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2010,Major trading partner 1 (% of exports),Brazil,,21.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2015,Major trading partner 1 (% of exports),Brazil,,17.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2022,Major trading partner 1 (% of exports),Brazil,,14.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2010,Major trading partner 1 (% of imports),China,,13.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2015,Major trading partner 1 (% of imports),China,,19.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2022,Major trading partner 1 (% of imports),China,,21.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2010,Major trading partner 2 (% of exports),China,,8.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2015,Major trading partner 2 (% of exports),China,,9.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2022,Major trading partner 2 (% of exports),China,,9.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2010,Major trading partner 2 (% of imports),Brazil,,32.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2015,Major trading partner 2 (% of imports),Brazil,,21.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2022,Major trading partner 2 (% of imports),Brazil,,19.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2010,Major trading partner 3 (% of exports),United States,,5.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2015,Major trading partner 3 (% of exports),United States,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2022,Major trading partner 3 (% of exports),United States,,7.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2010,Major trading partner 3 (% of imports),United States,,11.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2015,Major trading partner 3 (% of imports),United States,,13.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
32,Argentina,2022,Major trading partner 3 (% of imports),United States,,13.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2010,Major trading partner 1 (% of exports),Russian Federation,,17.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2015,Major trading partner 1 (% of exports),Russian Federation,,15.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2022,Major trading partner 1 (% of exports),Russian Federation,,44.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2010,Major trading partner 1 (% of imports),Russian Federation,,22.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2015,Major trading partner 1 (% of imports),Russian Federation,,30.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2022,Major trading partner 1 (% of imports),Russian Federation,,30.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2010,Major trading partner 2 (% of exports),United Arab Emirates,,0.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2015,Major trading partner 2 (% of exports),United Arab Emirates,,0.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2022,Major trading partner 2 (% of exports),United Arab Emirates,,10.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2010,Major trading partner 2 (% of imports),China,,10.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2015,Major trading partner 2 (% of imports),China,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2022,Major trading partner 2 (% of imports),China,,15.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2010,Major trading partner 3 (% of exports),China,,3.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2015,Major trading partner 3 (% of exports),China,,11.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2022,Major trading partner 3 (% of exports),China,,7.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
51,Armenia,2010,Major trading partner 3 (% of imports),Iran,,5.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
